feature_set,description,model,n_features,n_rows,roc_auc_mean,roc_auc_std,roc_auc_ci_low,roc_auc_ci_high,pr_auc_mean,pr_auc_std,pr_auc_ci_low,pr_auc_ci_high,f1_mean,f1_std,f1_ci_low,f1_ci_high,precision_mean,precision_std,precision_ci_low,precision_ci_high,recall_mean,recall_std,recall_ci_low,recall_ci_high,brier_mean,brier_std,brier_ci_low,brier_ci_high
A,soil-moisture lags only,logistic,16,1090,0.8771509505537779,0.08583321398671544,0.7705749388963535,0.9837269622112023,0.6338824617544724,0.329891769817832,0.22426772786794724,1.0,0.5037792207792208,0.3761909530531652,0.03667645792314311,0.9708819836352984,0.6146853146853146,0.4422154330381027,0.06560233203181509,1.0,0.5132343059239611,0.39454198791923395,0.0233457237449039,1.0,0.07950522057614814,0.045966677225302274,0.022430052348437424,0.13658038880385887
A,soil-moisture lags only,xgboost,16,1090,0.8623185375701116,0.12360883141560224,0.7088379017413198,1.0,0.6026243849950966,0.4025986710042834,0.10273210948439626,1.0,0.5075504140715223,0.4060562545240451,0.003364981583551252,1.0,0.5703410096311838,0.44429961308696503,0.01867017564523743,1.0,0.48756852343059237,0.419700466642717,0.0,1.0,0.07939798559328826,0.05003257245822303,0.017274341634391517,0.141521629552185
B,+ weather,logistic,32,1090,0.812247433750659,0.16136454576654194,0.6118868866858402,1.0,0.5398611360009926,0.37389406449404206,0.07561033697666436,1.0,0.5041068807263892,0.35090674518903153,0.06839860849830687,0.9398151529544716,0.48608573975858915,0.3774586053148097,0.01740897872698599,0.9547625007901923,0.5633406593406594,0.3047803473000112,0.18490587473819564,0.9417754439431231,0.11810349677656351,0.08735705532528634,0.009635386190061046,0.22657160736306597
B,+ weather,xgboost,32,1090,0.8233985672526796,0.17805347940264965,0.6023159721234941,1.0,0.5626181314550384,0.42408380727032124,0.03604853574629685,1.0,0.4841152238566031,0.42511525472592165,0.0,1.0,0.5429874069007241,0.44006928271590623,0.0,1.0,0.45897082228116715,0.4377889787939102,0.0,1.0,0.08425656773442018,0.047463844993732116,0.025322420189379052,0.1431907152794613
C,+ calendar,logistic,35,1090,0.8094561959483556,0.16497040837218646,0.6046183791036388,1.0,0.5182320665091007,0.39134652144460585,0.03231118000905625,1.0,0.5279841514417786,0.35474493826112286,0.08751013305792532,0.9684581698256318,0.48688105032222684,0.3799733063694099,0.015081875524881605,0.9586802251195721,0.629093343438171,0.26660188295399767,0.29806338352085837,0.9601233033554837,0.12353895287926586,0.08056500305045966,0.023504289076333673,0.22357361668219805
C,+ calendar,xgboost,35,1090,0.8248787494485861,0.1675352828783434,0.6168562202696636,1.0,0.5651854393323886,0.4214026460752301,0.04194494495297263,1.0,0.4891781580939448,0.4275263431707844,0.0,1.0,0.5553413687491899,0.4464261168860977,0.0010301315538169264,1.0,0.46356852343059235,0.44303791384705427,0.0,1.0,0.08365586510634004,0.047669715778960564,0.024466095218998812,0.14284563499368128
D,+ irrigation autoregressive lags (full set),logistic,40,1090,0.9118775376466595,0.07998524236642084,0.8125627418126723,1.0,0.6956019334077228,0.33357549897439304,0.28141324564836234,1.0,0.5987820397259513,0.38226720722568625,0.12413461081991894,1.0,0.6314042306577803,0.3928544906762642,0.14361095305238675,1.0,0.5707586206896552,0.37478873777821164,0.10539693805821881,1.0,0.05334351229202352,0.03106973411848544,0.014765342003336991,0.09192168258071004
D,+ irrigation autoregressive lags (full set),xgboost,40,1090,0.847849392903486,0.16102852271400042,0.6479060735655746,1.0,0.5960130079343795,0.4336991924409838,0.05750433463036375,1.0,0.5022670086819213,0.4398331805413452,0.0,1.0,0.5659663370998117,0.4725077376200491,0.0,1.0,0.47789213085764815,0.4517265738400741,0.0,1.0,0.07576685115634245,0.046228312143209715,0.01836682027039306,0.13316688204229182
E,weather only (leakage control),logistic,16,1090,0.5135173630011275,0.1339504362931213,0.3471959287122719,0.6798387972899831,0.2822104611161391,0.31887992779333574,0.0,0.67815218720694,0.07894179894179894,0.11475896527687521,0.0,0.22143387459721076,0.06320346320346319,0.09726300723798177,0.0,0.18397143764789728,0.11576354679802954,0.15853729105176448,0.0,0.31261359346975726,0.25038816399251085,0.2132723069642007,0.0,0.5152007093638207
E,weather only (leakage control),xgboost,16,1090,0.539244185785661,0.12312341444352017,0.38636627473522067,0.6921220968361014,0.2742438082856314,0.2885190556800488,0.0,0.6324875325192952,0.07736223073873397,0.14005947941330643,0.0,0.25126904393339783,0.13619972260748958,0.1966221825312516,0.0,0.38033840790479373,0.09655172413793103,0.19718590973097652,0.0,0.34139036920394183,0.299950282638218,0.2573404806024715,0.0,0.619480692682761
