model,metric,mean,std,ci_low,ci_high,no_skill_reference,best_main_model_mean,delta_vs_best_main
majority,brier,0.23227402196718622,0.2493081372514965,0.0,0.5418309604516122,0.18035707138585438,0.09545244464522736,0.13682157732195888
moisture_threshold,brier,0.10434257056179794,0.04731375427394063,0.04559478525998639,0.16309035586360948,0.18035707138585438,0.09545244464522736,0.008890125916570582
persistence,brier,0.08800898425985444,0.03536044184195548,0.04410319666412033,0.13191477185558856,0.18035707138585438,0.09545244464522736,-0.007443460385372913
logistic,brier,0.05334351229202352,0.03106973411848544,0.014765342003336991,0.09192168258071004,0.18035707138585438,0.09545244464522736,-0.042108932353203836
persistence,f1,0.6644382743693088,0.25404073468338406,0.34900504003571653,0.9798715087029011,0.0,0.5471926027189185,0.11724567165039035
moisture_threshold,f1,0.6155312106175463,0.319427724370914,0.21890930523802732,1.0,0.0,0.5471926027189185,0.06833860789862789
logistic,f1,0.5987820397259513,0.38226720722568625,0.12413461081991894,1.0,0.0,0.5471926027189185,0.05158943700703289
majority,f1,0.0,0.0,0.0,0.0,0.0,0.5471926027189185,-0.5471926027189185
moisture_threshold,pr_auc,0.700173757601781,0.2230346570435783,0.4232396535990463,0.9771078616045157,0.2361005331302361,0.657378347053837,0.042795410547944
logistic,pr_auc,0.6956019334077228,0.3335754989743931,0.2814132456483623,1.0,0.2361005331302361,0.657378347053837,0.038223586353885786
persistence,pr_auc,0.5334887747466073,0.3199206130447912,0.1362548672456126,0.930722682247602,0.2361005331302361,0.657378347053837,-0.12388957230722975
majority,pr_auc,0.2779816513761468,0.3031794317968451,0.0,0.6544286368341629,0.2361005331302361,0.657378347053837,-0.37939669567769024
persistence,precision,0.6661470918676,0.25394259227350385,0.3508357174310529,0.9814584663041471,0.0,0.5909970346913557,0.07515005717624434
logistic,precision,0.6314042306577804,0.3928544906762642,0.14361095305238686,1.0,0.0,0.5909970346913557,0.040407195966424725
moisture_threshold,precision,0.5907117346938776,0.3838496649813141,0.11409942496400377,1.0,0.0,0.5909970346913557,-0.00028529999747806123
majority,precision,0.0,0.0,0.0,0.0,0.0,0.5909970346913557,-0.5909970346913557
moisture_threshold,recall,0.7445385878489327,0.16346561480427976,0.5415692190022142,0.9475079566956511,0.0,0.5481596564355184,0.19637893141341423
persistence,recall,0.6627732727043071,0.2541915780137853,0.34715274163798643,0.9783938037706277,0.0,0.5481596564355184,0.11461361626878863
logistic,recall,0.5707586206896552,0.37478873777821164,0.10539693805821881,1.0,0.0,0.5481596564355184,0.022598964254136766
majority,recall,0.0,0.0,0.0,0.0,0.0,0.5481596564355184,-0.5481596564355184
logistic,roc_auc,0.9118775376466596,0.07998524236642075,0.8125627418126725,1.0,0.5,0.8842020604879876,0.027675477158672024
moisture_threshold,roc_auc,0.8814094455228343,0.11568652872473975,0.7377656477281593,1.0,0.5,0.8842020604879876,-0.0027926149651532617
persistence,roc_auc,0.8037957312926182,0.12189359528711802,0.6524448424129837,0.9551466201722526,0.5,0.8842020604879876,-0.08040632919536939
majority,roc_auc,0.5,0.0,0.5,0.5,0.5,0.8842020604879876,-0.38420206048798755
