rank,feature,mean_abs_shap,block,model,fold
1,irrigation_event_lag1h,1.6969621181488037,irrigation,xgboost,4
2,soil_moisture_roll6h_mean,1.266810417175293,moisture,xgboost,4
3,soil_moisture_lag1h,1.1970242261886597,moisture,xgboost,4
4,soil_moisture_lag3h,0.946594774723053,moisture,xgboost,4
5,soil_moisture_lag2h,0.7702776789665222,moisture,xgboost,4
6,soil_moisture_diff1h,0.7087072730064392,moisture,xgboost,4
7,humidity_lag24h,0.32526543736457825,weather,xgboost,4
8,soil_moisture_roll24h_max,0.31136608123779297,moisture,xgboost,4
9,soil_moisture_roll24h_std,0.28823867440223694,moisture,xgboost,4
10,solar_radiation_roll24h_mean,0.28245341777801514,weather,xgboost,4
11,soil_moisture_roll6h_min,0.22529491782188416,moisture,xgboost,4
12,air_temp_lag3h,0.22406180202960968,weather,xgboost,4
13,wind_speed_lag24h,0.19019396603107452,weather,xgboost,4
14,wind_speed_lag1h,0.1806127429008484,weather,xgboost,4
15,hour_cos,0.1770523488521576,calendar,xgboost,4
16,hours_since_last_irrigation,0.1702384203672409,irrigation,xgboost,4
17,days_since_start,0.1578126847743988,calendar,xgboost,4
18,soil_moisture_roll6h_max,0.15382155776023865,moisture,xgboost,4
19,irrigation_event_lag3h,0.15130989253520966,irrigation,xgboost,4
20,wind_speed_roll24h_mean,0.1512649953365326,weather,xgboost,4
21,air_temp_roll24h_mean,0.10524244606494904,weather,xgboost,4
22,humidity_lag3h,0.09695380926132202,weather,xgboost,4
23,air_temp_lag24h,0.08081281930208206,weather,xgboost,4
24,soil_moisture_roll24h_min,0.0796147957444191,moisture,xgboost,4
25,soil_moisture_roll6h_std,0.07621542364358902,moisture,xgboost,4
26,wind_speed_lag3h,0.06497731059789658,weather,xgboost,4
27,irrigation_event_lag2h,0.06332360208034515,irrigation,xgboost,4
28,solar_radiation_lag1h,0.05486038699746132,weather,xgboost,4
29,soil_moisture_roll24h_mean,0.04939397796988487,moisture,xgboost,4
30,humidity_lag1h,0.0477232001721859,weather,xgboost,4
31,solar_radiation_lag3h,0.046581022441387177,weather,xgboost,4
32,soil_moisture_diff3h,0.043668705970048904,moisture,xgboost,4
33,hour_sin,0.042165737599134445,calendar,xgboost,4
34,humidity_roll24h_mean,0.03858480975031853,weather,xgboost,4
35,air_temp_lag1h,0.029698751866817474,weather,xgboost,4
36,soil_moisture_lag24h,0.027594150975346565,moisture,xgboost,4
37,solar_radiation_lag24h,0.02577872946858406,weather,xgboost,4
38,soil_moisture_lag12h,0.018051384016871452,moisture,xgboost,4
39,soil_moisture_lag6h,0.016729936003684998,moisture,xgboost,4
40,irrigation_event_lag24h,0.0,irrigation,xgboost,4
