model,fold,n_train,n_train_positives,n_test,selected_params,selected_max_depth,selected_n_estimators,selected_min_child_weight,inner_score,n_candidates_scored,roc_auc,pr_auc,f1,precision,recall,brier,tn,fp,fn,tp,n,n_positive,positive_rate
xgboost,1,223,7,218,"max_depth=2, min_child_weight=1, n_estimators=100",2,100,1,0.7891156462585034,12,0.7484766418415708,0.06651789635312627,0.0,0.0,0.0,0.04563022212259496,210,1,7,0,218,7,0.03211009174311927
xgboost,2,441,14,218,"max_depth=2, min_child_weight=5, n_estimators=100",2,100,5,0.7793966378651619,12,0.5350259067357513,0.17830684341004865,0.0975609756097561,0.125,0.08,0.12686746236257296,179,14,23,2,218,25,0.11467889908256881
xgboost,3,659,39,218,"max_depth=2, min_child_weight=1, n_estimators=100",2,100,1,0.9005544616152973,12,0.9578856897292651,0.8537455508331995,0.5964912280701754,0.9444444444444444,0.4358974358974359,0.07792960422062487,178,1,22,17,218,39,0.17889908256880735
xgboost,4,877,78,218,"max_depth=2, min_child_weight=1, n_estimators=100",2,100,1,0.7867367253358953,12,0.9988244514106583,0.9997077521437375,0.9856733524355301,0.9828571428571429,0.9885057471264368,0.015949928698364525,41,3,2,172,218,174,0.7981651376146789
xgboost,5,1095,252,218,"max_depth=6, min_child_weight=1, n_estimators=100",6,100,1,0.9281734886635423,12,0.9586206896551724,0.9074615508271696,0.8292682926829268,0.7846153846153846,0.8793103448275862,0.08564641447101037,146,14,7,51,218,58,0.26605504587155965
lightgbm,1,223,7,218,"max_depth=4, min_child_weight=5, n_estimators=100",4,100,5,0.7006802721088435,12,0.8534190927555856,0.20967245715144872,0.0,0.0,0.0,0.03239097886051404,211,0,7,0,218,7,0.03211009174311927
lightgbm,2,441,14,218,"max_depth=2, min_child_weight=5, n_estimators=100",2,100,5,0.746370422617998,12,0.6488082901554404,0.21463198544844003,0.1111111111111111,0.18181818181818182,0.08,0.12065220280122468,184,9,23,2,218,25,0.11467889908256881
lightgbm,3,659,39,218,"max_depth=2, min_child_weight=5, n_estimators=200",2,200,5,0.7984703736922832,12,0.9535883111302106,0.828938602083785,0.6333333333333333,0.9047619047619048,0.48717948717948717,0.08552838601832564,177,2,20,19,218,39,0.17889908256880735
lightgbm,4,877,78,218,"max_depth=2, min_child_weight=5, n_estimators=100",2,100,5,0.8128776336637972,12,0.9984326018808778,0.9996004305271072,0.9914529914529915,0.9830508474576272,1.0,0.012119144501529615,41,3,0,174,218,174,0.7981651376146789
lightgbm,5,1095,252,218,"max_depth=6, min_child_weight=5, n_estimators=100",6,100,5,0.9219459938475697,12,0.9568965517241379,0.9012813316790165,0.8264462809917356,0.7936507936507936,0.8620689655172413,0.09212655518162542,147,13,8,50,218,58,0.26605504587155965
