protocol,model,fold,roc_auc,pr_auc,f1,precision,recall,brier,n_test,n_positive,test_positive_rate,n_train
main,majority,1,0.5,0.03211009174311927,0.0,0.0,0.0,0.031079552089757694,218,7,0.03211009174311927,223
main,majority,2,0.5,0.11467889908256881,0.0,0.0,0.0,0.10840550967243844,218,25,0.11467889908256881,441
main,majority,3,0.5,0.17889908256880735,0.0,0.0,0.0,0.16122672148876505,218,39,0.17889908256880735,659
main,majority,4,0.5,0.7981651376146789,0.0,0.0,0.0,0.6640984611438402,218,174,0.7981651376146789,877
main,majority,5,0.5,0.26605504587155965,0.0,0.0,0.0,0.19655986544112974,218,58,0.26605504587155965,1095
main,persistence,1,0.6310088016249153,0.10456843287773825,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.03621813303496559,218,7,0.03211009174311927,223
main,persistence,2,0.7966839378238343,0.4508844036697248,0.64,0.64,0.64,0.06802389620200998,218,25,0.11467889908256881,441
main,persistence,3,0.7841999713508094,0.4859475788978445,0.6493506493506493,0.6578947368421053,0.6410256410256411,0.10140910991281148,218,39,0.17889908256880735,659
main,persistence,4,0.9715256008359456,0.9863179240286004,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.12145812316010643,218,174,0.7981651376146789,877
main,persistence,5,0.8355603448275861,0.6397255342591279,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.11293565898937875,218,58,0.26605504587155965,1095
main,moisture_threshold,1,0.9495599187542316,0.46928820308611247,0.2857142857142857,0.19047619047619047,0.5714285714285714,0.029643163208970074,218,7,0.03211009174311927,223
main,moisture_threshold,2,0.6940932642487045,0.4876638730355399,0.2764227642276423,0.17346938775510204,0.68,0.09488423782627942,218,25,0.11467889908256881,441
main,moisture_threshold,3,0.8763071193238792,0.7896827749114638,0.7536231884057971,0.8666666666666667,0.6666666666666666,0.12844538045914328,218,39,0.17889908256880735,659
main,moisture_threshold,4,0.9985632183908046,0.9993453995313739,0.9914040114613181,0.9885714285714285,0.9942528735632183,0.1555910287055664,218,174,0.7981651376146789,877
main,moisture_threshold,5,0.8885237068965517,0.7548885374444146,0.7704918032786885,0.734375,0.8103448275862069,0.11314904260903053,218,58,0.26605504587155965,1095
main,logistic,1,0.8117806364251862,0.1990221088435374,0.0,0.0,0.0,0.030008993735487648,218,7,0.03211009174311927,223
main,logistic,2,0.8439378238341969,0.5141858410064133,0.4782608695652174,0.5238095238095238,0.44,0.08790097227972028,218,25,0.11467889908256881,441
main,logistic,3,0.9408394212863487,0.8418573720552016,0.7123287671232876,0.7647058823529411,0.6666666666666666,0.06612555583019697,218,39,0.17889908256880735,659
main,logistic,4,0.9963427377220481,0.9990388588911928,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.01243517760369285,218,174,0.7981651376146789,877
main,logistic,5,0.9664870689655173,0.9239054862422686,0.8148148148148148,0.88,0.7586206896551724,0.07024686201101984,218,58,0.26605504587155965,1095
main,xgboost,1,0.7484766418415708,0.06651789635312627,0.0,0.0,0.0,0.045479972918694586,218,7,0.03211009174311927,223
main,xgboost,2,0.6130569948186528,0.1907893650656437,0.09302325581395349,0.1111111111111111,0.08,0.14016988174887277,218,25,0.11467889908256881,441
main,xgboost,3,0.9308122045552213,0.8137980561897437,0.5964912280701754,0.9444444444444444,0.4358974358974359,0.08911659617534128,218,39,0.17889908256880735,659
main,xgboost,4,0.9853709508881923,0.995597906857228,0.9857549857549858,0.9774011299435028,0.9942528735632183,0.019030413012001857,218,174,0.7981651376146789,877
main,xgboost,5,0.961530172413793,0.9133618152061561,0.8360655737704918,0.796875,0.8793103448275862,0.08503739192680175,218,58,0.26605504587155965,1095
main,lightgbm,1,0.8666215301286392,0.3816475335038938,0.21052631578947367,0.16666666666666666,0.2857142857142857,0.05068293934120243,218,7,0.03211009174311927,223
main,lightgbm,2,0.6683937823834197,0.20211418444719126,0.15873015873015872,0.13157894736842105,0.2,0.20576200284267546,218,25,0.11467889908256881,441
main,lightgbm,3,0.9371150265005014,0.8026719092364154,0.5614035087719298,0.8888888888888888,0.41025641025641024,0.10489410854105538,218,39,0.17889908256880735,659
main,lightgbm,4,0.9979101358411703,0.9994738324921537,0.9886363636363636,0.9775280898876404,1.0,0.018303361223307897,218,174,0.7981651376146789,877
main,lightgbm,5,0.950969827586207,0.9009842755895308,0.8166666666666667,0.7903225806451613,0.8448275862068966,0.09761981127789554,218,58,0.26605504587155965,1095
onset,majority,1,0.5,0.017964071856287425,0.0,0.0,0.0,0.017785644697000554,167,3,0.017964071856287425,168
onset,majority,2,0.5,0.029940119760479042,0.0,0.0,0.0,0.029367702554347768,167,5,0.029940119760479042,335
onset,majority,3,0.5,0.04790419161676647,0.0,0.0,0.0,0.04650793490874159,167,8,0.04790419161676647,502
onset,majority,4,0.5,0.07784431137724551,0.0,0.0,0.0,0.07453382027863142,167,13,0.07784431137724551,669
onset,majority,5,0.5,0.08982035928143713,0.0,0.0,0.0,0.08466166725636207,167,15,0.08982035928143713,836
onset,moisture_threshold,1,0.9247967479674797,0.13852813852813853,0.1111111111111111,0.058823529411764705,1.0,0.01776087222619413,167,3,0.017964071856287425,168
onset,moisture_threshold,2,0.912962962962963,0.25677419354838715,0.1724137931034483,0.09433962264150944,1.0,0.02754384300194619,167,5,0.029940119760479042,335
onset,moisture_threshold,3,0.9772012578616351,0.5705128205128205,0.6666666666666666,0.5384615384615384,0.875,0.03829614480367317,167,8,0.04790419161676647,502
onset,moisture_threshold,4,0.9547952047952047,0.5665558344172301,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.057934680744592584,167,13,0.07784431137724551,669
