model,metric,mean,std,ci_low,ci_high,seed_std,seed_ci_low,seed_ci_high,n_folds,n_seeds,deterministic_across_seeds
majority,brier,0.23227402196718622,0.2493081372514965,0.0,0.5418309604516122,0.0,0.23227402196718622,0.23227402196718622,5,10,True
moisture_threshold,brier,0.10434257056179794,0.04731375427394063,0.04559478525998639,0.16309035586360948,0.0,0.10434257056179794,0.10434257056179794,5,10,True
lightgbm,brier,0.09545244464522736,0.07109558847595218,0.007175612003527107,0.18372927728692762,0.0,0.09545244464522736,0.09545244464522736,5,10,True
persistence,brier,0.08800898425985444,0.03536044184195548,0.04410319666412033,0.13191477185558856,0.0,0.08800898425985446,0.08800898425985446,5,10,True
xgboost,brier,0.07576685115634245,0.046228312143209715,0.01836682027039306,0.13316688204229182,0.0,0.07576685115634244,0.07576685115634244,5,10,True
logistic,brier,0.05334351229202352,0.03106973411848544,0.014765342003336991,0.09192168258071004,0.0,0.05334351229202352,0.05334351229202352,5,10,True
persistence,f1,0.6644382743693088,0.25404073468338406,0.34900504003571653,0.9798715087029011,0.0,0.6644382743693089,0.6644382743693089,5,10,True
moisture_threshold,f1,0.6155312106175463,0.319427724370914,0.21890930523802732,1.0,0.0,0.6155312106175463,0.6155312106175463,5,10,True
logistic,f1,0.5987820397259513,0.38226720722568625,0.12413461081991894,1.0,0.0,0.5987820397259513,0.5987820397259513,5,10,True
lightgbm,f1,0.5471926027189185,0.36467042455787413,0.09439446533572438,0.9999907401021125,0.0,0.5471926027189185,0.5471926027189185,5,10,True
xgboost,f1,0.5022670086819213,0.4398331805413452,0.0,1.0,0.0,0.5022670086819214,0.5022670086819214,5,10,True
majority,f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10,True
moisture_threshold,pr_auc,0.700173757601781,0.2230346570435783,0.4232396535990463,0.9771078616045157,0.0,0.700173757601781,0.700173757601781,5,10,True
logistic,pr_auc,0.6956019334077228,0.3335754989743931,0.2814132456483623,1.0,0.0,0.6956019334077228,0.6956019334077228,5,10,True
lightgbm,pr_auc,0.657378347053837,0.3466901816036769,0.22690563002582653,1.0,0.0,0.657378347053837,0.657378347053837,5,10,True
xgboost,pr_auc,0.5960130079343795,0.4336991924409838,0.05750433463036375,1.0,0.0,0.5960130079343795,0.5960130079343795,5,10,True
persistence,pr_auc,0.5334887747466073,0.3199206130447912,0.1362548672456126,0.930722682247602,0.0,0.5334887747466073,0.5334887747466073,5,10,True
majority,pr_auc,0.2779816513761468,0.3031794317968451,0.0,0.6544286368341629,0.0,0.2779816513761468,0.2779816513761468,5,10,True
persistence,precision,0.6661470918676,0.25394259227350385,0.3508357174310529,0.9814584663041471,0.0,0.6661470918676,0.6661470918676,5,10,True
logistic,precision,0.6314042306577804,0.3928544906762642,0.14361095305238686,1.0,0.0,0.6314042306577805,0.6314042306577805,5,10,True
lightgbm,precision,0.5909970346913557,0.4089614061514888,0.08320438001826469,1.0,0.0,0.5909970346913556,0.5909970346913556,5,10,True
moisture_threshold,precision,0.5907117346938776,0.3838496649813141,0.11409942496400377,1.0,0.0,0.5907117346938777,0.5907117346938777,5,10,True
xgboost,precision,0.5659663370998117,0.4725077376200491,0.0,1.0,0.0,0.5659663370998117,0.5659663370998117,5,10,True
majority,precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10,True
moisture_threshold,recall,0.7445385878489327,0.16346561480427976,0.5415692190022142,0.9475079566956511,0.0,0.7445385878489327,0.7445385878489327,5,10,True
persistence,recall,0.6627732727043071,0.2541915780137853,0.34715274163798643,0.9783938037706277,0.0,0.6627732727043071,0.6627732727043071,5,10,True
logistic,recall,0.5707586206896552,0.37478873777821164,0.10539693805821881,1.0,0.0,0.5707586206896551,0.5707586206896551,5,10,True
lightgbm,recall,0.5481596564355184,0.35400620789625403,0.10860289295010273,0.9877164199209342,0.0,0.5481596564355184,0.5481596564355184,5,10,True
xgboost,recall,0.47789213085764803,0.45172657384007403,0.0,1.0,0.0,0.47789213085764803,0.47789213085764803,5,10,True
majority,recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10,True
logistic,roc_auc,0.9118775376466596,0.07998524236642075,0.8125627418126725,1.0,0.0,0.9118775376466596,0.9118775376466596,5,10,True
lightgbm,roc_auc,0.8842020604879876,0.12948892910421245,0.7234203190533274,1.0,0.0,0.8842020604879876,0.8842020604879876,5,10,True
moisture_threshold,roc_auc,0.8814094455228343,0.11568652872473975,0.7377656477281593,1.0,0.0,0.8814094455228343,0.8814094455228343,5,10,True
xgboost,roc_auc,0.847849392903486,0.16102852271400045,0.6479060735655746,1.0,0.0,0.847849392903486,0.847849392903486,5,10,True
persistence,roc_auc,0.8037957312926182,0.12189359528711802,0.6524448424129837,0.9551466201722526,0.0,0.8037957312926182,0.8037957312926182,5,10,True
majority,roc_auc,0.5,0.0,0.5,0.5,0.0,0.5,0.5,5,10,True
